Loaded navigation cache
/home/ubuntu/orbis/Bots/PythonAI
Welcome BluePythonAI
Connected
[TIME] 7 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 4 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 4 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 4 ms
[TIME] 3 ms
[TIME] 4 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 4 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 1 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 2 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
[TIME] 3 ms
